,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES
207,-0.7089298647649721,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.33031452870900924,1.122901992772263,-1.2305519103170177,1.3673075293649286,-0.03397544386858851,-0.010777555668991341,1.0673355395815431,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
461,1.7824353070502632,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.3481394762483114,-1.6884878877313847,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,0.5192645424973165,0.5598482830214442,0.12539016969611072,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
800,-0.9615508087602233,1.4250237135578045,-0.4891078143167476,0.8529734990236583,0.9506531277755026,1.4839159095320915,-0.8402133792072178,-1.2305519103170177,1.3673075293649286,-0.7906124840454879,-0.06112689437697094,-0.6798890192907656,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
469,-1.4842148308193635,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,-0.8887856083575106,1.6281160821349767,1.122901992772263,1.204577199809007,0.46697333531427326,-0.2963576432847714,0.958447214459616,-0.09642955468539176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
216,-1.1880385516525174,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.33031452870900924,-0.8402133792072178,1.204577199809007,0.46697333531427326,-0.42856572826191774,0.6857216297913932,0.5280297641895488,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
274,0.10119936942669533,1.4250237135578045,-0.4891078143167476,0.8890709651690086,0.24890193364383284,0.6187148739147798,1.122901992772263,-1.2305519103170177,0.46697333531427326,0.7023218909272114,0.7486583031763676,0.3146202663248806,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
969,1.677902502638435,-1.0527995905419327,-0.4891078143167476,1.5929715550033419,0.9506531277755026,-0.6790866795111877,-0.8402133792072178,1.204577199809007,1.3673075293649286,-1.3763959990211518,-1.2695110233684814,-1.7080392109737488,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
545,-0.647952395524739,-0.2268584891753536,-0.4891078143167476,1.4594109302655454,0.9506531277755026,-0.9674870247169584,-0.8402133792072178,-0.012987355254005385,1.3673075293649286,1.6094727509242468,0.08152956529563793,0.850772206773062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
304,0.7022629947947067,-1.0527995905419327,-0.4891078143167476,1.0406803229794803,-1.7996444815486172,0.4745147013118945,1.122901992772263,-1.2305519103170177,-1.3336950527870377,1.1782709968449385,-0.14084668066460532,0.4607479520548751,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
877,1.7388799718786683,-0.2268584891753536,1.2494270706953887,0.7591200870457472,0.9506531277755026,1.3397157369292063,1.122901992772263,1.204577199809007,1.3673075293649286,0.5843515997168346,0.6269807346320836,0.19267198183078446,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
775,-1.0138172109661372,1.4250237135578045,-0.4891078143167476,0.8601929922527283,-0.6477801477466342,-0.9674870247169584,-0.8402133792072178,-0.012987355254005385,0.46697333531427326,-1.4964002607696387,-1.5170619386827144,-1.9566665323776602,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
393,1.7475910389129872,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,-0.5627193969427954,0.4745147013118945,1.122901992772263,-0.012987355254005385,0.46697333531427326,0.7226615963083108,-0.3758102613018435,0.6226448125039339,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
807,-0.1688437086371938,1.4250237135578045,-0.4891078143167476,2.008092415674872,-2.9869507948522,-1.5442877151284995,1.122901992772263,1.204577199809007,1.3673075293649286,1.0033495305674833,1.0591458918755752,0.6257986474477467,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
424,-0.482442121872678,-0.2268584891753536,-0.4891078143167476,0.9937536169905249,0.9506531277755026,-0.823286852114073,1.122901992772263,-1.2305519103170177,1.3673075293649286,-0.18042132261250451,1.1976065733225192,0.42395321104372546,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
719,0.31026497825035143,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,-0.32525813428207884,1.3397157369292063,-0.8402133792072178,-0.012987355254005385,-1.3336950527870377,-1.2340180613534557,-1.3848949245742679,-1.687013644681663,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
68,-0.6740855966276961,-0.2268584891753536,-0.4891078143167476,0.6508276886096959,-1.395605915230383,-0.5348865069083025,-0.8402133792072178,-1.2305519103170177,1.3673075293649286,1.0358930591772424,-0.21427279961374224,0.6594395535150835,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
687,-0.09915517236264178,-1.0527995905419327,-0.4891078143167476,0.9829243771469197,-0.8675204206565509,0.7629150465176651,1.122901992772263,-1.2305519103170177,0.46697333531427326,1.2881054059028754,2.789904409962374,1.2802193982889092,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
699,-0.1688437086371938,1.4250237135578045,-0.4891078143167476,0.5064378240282943,-1.1864982361709462,1.6281160821349767,1.122901992772263,1.204577199809007,0.46697333531427326,0.8324960053662479,-0.3191672552553664,0.7503751277283535,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
132,-0.8134626691768001,-1.0527995905419327,-0.4891078143167476,1.253655373237048,-0.9915673489121491,1.3397157369292063,1.122901992772263,-1.2305519103170177,-0.4333608587363822,0.2304407260857043,0.26194802899923153,-0.173172871651504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-1.2315938868241123,-0.2268584891753536,-0.4891078143167476,1.008192603448665,0.9506531277755026,1.4839159095320915,2.1044596787620033,-1.2305519103170177,-1.3336950527870377,1.0643686467107816,1.1220825652605497,0.6888753463240033,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,0.005377632049186277,-0.2268584891753536,2.118694513201457,0.7916078065765625,-1.5196528434859813,0.04191418350323865,1.122901992772263,1.204577199809007,1.3673075293649286,-0.8272239537314668,0.5556525047957792,-0.7461195531108351,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
559,-0.09915517236264178,1.4250237135578045,-0.4891078143167476,0.7663395802748172,0.9506531277755026,0.4745147013118945,1.122901992772263,-0.012987355254005385,-1.3336950527870377,-0.5058566087100956,0.5262820572161244,0.09174926362877385,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
927,-0.43017571966676393,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.4745147013118945,-0.8402133792072178,-0.012987355254005385,1.3673075293649286,-0.11736823593109623,1.327675698318133,0.8949258959864417,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
208,1.19879381575089,-1.0527995905419327,0.8147933494423545,-0.9121925954839771,0.9506531277755026,0.18611435610612392,2.1044596787620033,1.204577199809007,1.3673075293649286,-0.027873532254258673,1.5122899402473917,0.319876657897902,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
928,-1.0573725461377323,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.38712565370007085,-0.3906863343054172,-0.8402133792072178,-0.012987355254005385,1.3673075293649286,-1.413007468707131,-1.345035031430451,-1.7837312496252566,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
270,1.425281558643184,1.4250237135578045,-0.4891078143167476,1.0876070289684359,0.9506531277755026,-0.823286852114073,1.122901992772263,1.204577199809007,-1.3336950527870377,1.9715195067078166,0.26824169633772893,1.1782454017722943,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
136,-0.04688877015672775,-0.2268584891753536,-0.4891078143167476,0.7230226209003967,0.22763674594287314,-0.3906863343054172,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,-1.4150414392452408,-1.4352442632822475,-1.8094875683330613,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
74,-0.11657730643127978,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.9071152191205504,1.122901992772263,-0.012987355254005385,-1.3336950527870377,0.4419736620491385,-0.5205646100872848,-0.4559667382800546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
885,0.4235088496964985,-1.0527995905419327,-0.4891078143167476,1.2464358800079778,0.9506531277755026,1.0513153917234357,1.122901992772263,-1.2305519103170177,-1.3336950527870377,1.2026786433022578,1.2647390249331585,0.831849197110185,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
232,0.25799857604443743,-1.0527995905419327,-0.4891078143167476,0.5280963037155045,-1.1829540382207862,-0.6790866795111877,2.1044596787620033,1.204577199809007,-0.4333608587363822,-0.0929605894737769,-0.07161633994113335,0.9453872550874469,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
80,-0.595685993318825,1.4250237135578045,-0.4891078143167476,0.9901438703759898,-0.48829123998943647,-0.823286852114073,1.122901992772263,-0.012987355254005385,0.46697333531427326,0.5680798354119551,0.6101976217294237,-0.3581978550218568,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
540,-0.586974926284506,-1.0527995905419327,1.2494270706953887,0.08770721674222942,-1.6153461881403,-1.6884878877313847,-0.8402133792072178,1.204577199809007,0.46697333531427326,-0.088892648397557,1.3864165934774426,1.3180654176146631,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
966,-1.2228828197897934,1.4250237135578045,1.6840607919484227,-0.9121925954839771,0.9506531277755026,1.3397157369292063,1.122901992772263,-1.2305519103170177,-1.3336950527870377,-0.21906676283659346,1.1178867870348848,0.354043203122541,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
309,-0.3517761163578929,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,-0.4563934584379969,1.195515564326321,1.122901992772263,1.204577199809007,0.46697333531427326,-0.5689096953915039,-0.5625223923439345,-0.038609247382156514,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
163,-0.8134626691768001,-0.2268584891753536,-0.4891078143167476,0.8096565396492378,-1.1510562566693467,-1.2558873699227289,-0.8402133792072178,1.204577199809007,-1.3336950527870377,0.6962199793128816,3.00598698858412,2.0098065486242778,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
114,1.608213966363883,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-0.3906863343054172,-0.8402133792072178,-0.012987355254005385,-0.4333608587363822,-1.2584257078107752,-1.2737068015941464,-1.7122443242321659,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
735,0.7632404640349397,-0.2268584891753536,-0.4891078143167476,0.9468269110015693,0.9506531277755026,0.18611435610612392,1.122901992772263,-0.012987355254005385,-0.4333608587363822,0.8162242410613684,-0.3275588117066963,-0.16581392344927406,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
213,-1.6932804396430197,1.4250237135578045,-0.4891078143167476,-0.045853407995567114,0.9506531277755026,-0.823286852114073,1.122901992772263,-0.012987355254005385,-1.3336950527870377,0.4785851317351175,0.5178905007647945,-0.17212159333689972,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
313,2.0089230499425574,-0.2268584891753536,-0.4891078143167476,0.4956085841846891,0.9506531277755026,-0.24648616170253193,1.122901992772263,1.204577199809007,0.46697333531427326,1.267765700521776,-0.09469312018229067,0.5416963822794045,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
580,0.4322199167308175,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,-0.47411444818879667,0.6187148739147798,-0.8402133792072178,1.204577199809007,-1.3336950527870377,0.9911457073388236,1.0465585571985803,0.29149214340358653,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
226,1.442703692711822,-0.2268584891753536,2.553328234454491,-0.9121925954839771,-0.36424431173383826,-1.4000875425256143,0.14134430678252252,1.204577199809007,-1.3336950527870377,-0.10719838324054651,1.3486545894464579,1.6350258294678528,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
428,-0.3343539822892549,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,-0.4103188850859176,1.4839159095320915,1.122901992772263,-1.2305519103170177,-1.3336950527870377,0.27315410738601315,0.30600370036871366,0.786644229582201,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
802,-0.04688877015672775,-0.2268584891753536,0.8147933494423545,-0.9121925954839771,0.9506531277755026,-0.24648616170253193,-0.8402133792072178,1.204577199809007,0.46697333531427326,-0.3594107299661796,-0.3464398137221887,0.3945174182348057,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
554,-0.012044502019451732,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-0.24648616170253193,1.122901992772263,-0.012987355254005385,0.46697333531427326,0.19789719747594517,0.22838180319391177,-0.6451968349088244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
416,1.068127810236105,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.0513153917234357,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,0.3179014592244319,0.3521572608510283,0.8560285983460834,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1
773,-0.2733765130490219,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.33031452870900924,1.122901992772263,-1.2305519103170177,-0.4333608587363822,0.2995957243814424,-0.5939907290364217,-0.3340184537859584,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
801,-0.5695527922158681,-1.0527995905419327,-0.4891078143167476,0.6472179419951608,0.9506531277755026,-0.24648616170253193,1.122901992772263,1.204577199809007,-1.3336950527870377,0.11857234648965734,0.1465641277934449,1.3827190339628261,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
604,-1.1357721494466033,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.4745147013118945,0.14134430678252252,-1.2305519103170177,-0.4333608587363822,-0.2841538200561117,0.9836218838136058,0.8639131857056155,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
991,0.4496420507994555,-0.2268584891753536,-0.4891078143167476,1.2319968935498378,-0.19057861217600078,1.3397157369292063,-0.8402133792072178,-1.2305519103170177,-0.4333608587363822,-1.4984342313077486,-0.42615960000982306,0.23472311441495555,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
33,-0.7960405351081622,-0.2268584891753536,-0.4891078143167476,0.9432171643870343,-1.3176335603268643,-1.5442877151284995,1.122901992772263,-0.012987355254005385,0.46697333531427326,1.3531924631223937,1.4199828192827624,0.6189653384028189,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,2.244121859869171,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,0.33031452870900924,-0.8402133792072178,1.204577199809007,-1.3336950527870377,-0.1560136761551852,-0.13665090243894035,0.4681069002571051,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
485,-1.2141717527554743,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,-0.17285762242520103,-1.6884878877313847,-0.8402133792072178,1.204577199809007,-0.4333608587363822,0.28739190115278274,0.32068892415854106,-0.3450568760893033,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
681,-1.5103480319223206,1.4250237135578045,1.6840607919484227,-0.9121925954839771,0.9506531277755026,1.4839159095320915,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,-1.4089395276309111,-1.42895059594375,-1.8678335147935987,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
159,-0.604397060353144,-1.0527995905419327,-0.4891078143167476,1.343899038600424,-1.4204153008815028,-0.3906863343054172,-0.8402133792072178,1.204577199809007,-1.3336950527870377,-1.2462218845821156,-1.3911885919127653,-1.732218612209647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
458,1.233638083888166,-1.0527995905419327,3.422595676960559,-0.9121925954839771,0.5218051758061488,0.4745147013118945,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,0.25688234308113356,2.099698891840487,2.1222933282869354,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
615,-0.45630892076972096,-1.0527995905419327,-0.4891078143167476,0.7338518607440019,-1.2254844136227057,-1.6884878877313847,1.122901992772263,-0.012987355254005385,-1.3336950527870377,1.377600109579713,1.4451574886367522,0.6410421830095087,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
156,2.2266997258005325,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,-0.24648616170253193,1.122901992772263,1.204577199809007,-0.4333608587363822,-0.03194147333047856,1.5038983837960618,0.6925548204251183,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
305,-0.2646654460147029,-1.0527995905419327,-0.4891078143167476,2.0622386148928973,-1.073083901765828,0.33031452870900924,-0.8402133792072178,1.204577199809007,-0.4333608587363822,-0.6685742517588912,-0.6653189588727262,-0.4591205732238674,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
167,0.8067957992065347,-0.2268584891753536,-0.4891078143167476,-0.9121925954839771,-0.860432024756231,0.9071152191205504,1.122901992772263,-1.2305519103170177,-1.3336950527870377,1.1050480574729804,-0.17860868469559002,0.3945174182348057,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,-1.7194136407459766,-1.0527995905419327,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.3397157369292063,-0.8402133792072178,-1.2305519103170177,-1.3336950527870377,1.3572604041986136,1.4241785975084273,1.3606421893561365,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
317,0.6064412574171976,1.4250237135578045,-0.4891078143167476,0.5100475706428292,-1.3140893623767043,-0.5348865069083025,1.122901992772263,-0.012987355254005385,-0.4333608587363822,-0.40822602288081833,0.7276794120480429,0.5753372883467414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
283,2.0089230499425574,1.4250237135578045,1.6840607919484227,0.7988272998056326,-0.027545506468643146,-0.24648616170253193,-0.8402133792072178,-1.2305519103170177,0.46697333531427326,0.938262473347965,-0.2646221383217218,0.2436589800890919,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
490,-0.1252883734655988,1.4250237135578045,-0.4891078143167476,0.7121933810567916,-0.1267830490731217,-1.2558873699227289,-0.8402133792072178,-0.012987355254005385,-0.4333608587363822,-1.447584967855,-1.4688104890875673,-1.868359153950901,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
292,-1.4493705626820874,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.39421404960039075,0.33031452870900924,1.122901992772263,-0.012987355254005385,-1.3336950527870377,0.645370715860133,0.6899174080170581,-0.29827499108941297,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
224,0.31026497825035143,1.4250237135578045,-0.4891078143167476,-0.9121925954839771,0.9506531277755026,1.6281160821349767,1.122901992772263,-1.2305519103170177,1.3673075293649286,1.1416595271589594,1.2018023515481842,0.7687724982339283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
95,-1.0922168142750084,1.4250237135578045,1.6840607919484227,1.531605862556246,-1.1191584751179073,-0.9674870247169584,-0.8402133792072178,1.204577199809007,-1.3336950527870377,-1.2421539435058955,-1.3890907027999329,-1.6954238711984975,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
613,-1.1357721494466033,-0.2268584891753536,-0.4891078143167476,1.1778506943318119,-2.2426692253186107,1.6281160821349767,1.122901992772263,-1.2305519103170177,0.46697333531427326,-0.14991176454085534,1.2605432467074935,1.1761428451430858,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
265,1.643058234501159,-1.0527995905419327,-0.4891078143167476,0.9468269110015693,0.9506531277755026,-0.3906863343054172,-0.8402133792072178,-0.012987355254005385,-1.3336950527870377,-1.2828333542680945,-1.2988814709481362,-1.709616128445655,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
